S.No,Zone,Commissionerate,Division,Range,HSN Code,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
2504,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8324,83,,892.700000000,-
2505,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2590,25,,3181.410000000,2.023090
2506,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6009,60,,3160.000000000,-0.951827
2507,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3320,33,,875.400000000,-0.382930
2508,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3373,33,,872.860000000,-
2509,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2132,21,,3127.500000000,-
2510,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2315,23,,560.000000000,-
2511,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1235,12,,3084.770000000,0.869557
2512,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2540,25,,850.000000000,-0.843289
2513,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0817,81,,847.460000000,-0.937690
2514,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,8605,86,,847.460000000,-0.647761
2515,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1190,11,,846.610000000,-0.972515
2516,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2049,20,,1269.640000000,-
2517,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0388,38,,843.220000000,-
2518,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3374,33,,843.230000000,-0.990817
2519,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6543,65,,825.420000000,-0.890648
2520,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,3125,31,,800.850000000,-
2521,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1232,12,,2879.970000000,-
2522,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,1557,15,,2864.640000000,-0.432713
2523,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,4684,46,,793.220000000,-
2524,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0230,23,,1183.940000000,-0.992069
2525,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,2741,27,,777.970000000,-
2526,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,6065,60,,2797.950000000,1.803107
2527,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0102,10,,2782.880000000,-0.999960
2528,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,9083,90,,93411.570000000,-0.630984
2529,DELHI,DELHI EAST,GANDHI NAGAR,All Ranges,0523,52,,762.720000000,-
