S.No,Zone,Commissionerate,Division,Range,HSN Code,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
129,DELHI,DELHI EAST,All Divisions,All Ranges,4407,44,,3782385214.8199992,-9.2328999999999994E-2
130,DELHI,DELHI EAST,All Divisions,All Ranges,2711,27,,14816590508.440001,-0.173733
131,DELHI,DELHI EAST,All Divisions,All Ranges,1511,15,,11950431088.879999,-0.21560399999999999
132,DELHI,DELHI EAST,All Divisions,All Ranges,8450,84,,3637745379.23,-0.17103299999999999
133,DELHI,DELHI EAST,All Divisions,All Ranges,6402,64,,4867919253.7299986,0.150813
134,DELHI,DELHI EAST,All Divisions,All Ranges,9021,90,,13064125539.65,8.8021000000000002E-2
135,DELHI,DELHI EAST,All Divisions,All Ranges,2713,27,,4562780388.6599989,-0.131883
136,DELHI,DELHI EAST,All Divisions,All Ranges,6103,61,,10967728746.21999,-3.8605E-2
137,DELHI,DELHI EAST,All Divisions,All Ranges,3302,33,,3512521673.690001,-5.1561000000000003E-2
138,DELHI,DELHI EAST,All Divisions,All Ranges,7323,73,,4277442621.670001,0.18552099999999999
139,DELHI,DELHI EAST,All Divisions,All Ranges,8802,88,,1944592553.8599999,39.024340000000002
140,DELHI,DELHI EAST,All Divisions,All Ranges,6403,64,,3641588909.1399999,4.1064000000000003E-2
141,DELHI,DELHI EAST,All Divisions,All Ranges,3214,32,,3255706089.3800011,-6.9570999999999994E-2
142,DELHI,DELHI EAST,All Divisions,All Ranges,1901,19,,4076996509.3600001,5.1098999999999999E-2
143,DELHI,DELHI EAST,All Divisions,All Ranges,7606,76,,3248128622.9300008,-5.3776999999999998E-2
144,DELHI,DELHI EAST,All Divisions,All Ranges,8409,84,,2263235322.2400012,0.250612
145,DELHI,DELHI EAST,All Divisions,All Ranges,3903,39,,3122539724.3899999,-0.19708000000000001
146,DELHI,DELHI EAST,All Divisions,All Ranges,8419,84,,3635067123.6900001,-1.4709E-2
147,DELHI,DELHI EAST,All Divisions,All Ranges,8529,85,,2998037340.5300012,9.2562000000000005E-2
148,DELHI,DELHI EAST,All Divisions,All Ranges,7901,79,,2916317977.7800002,0.37111100000000002
149,DELHI,DELHI EAST,All Divisions,All Ranges,3215,32,,2870074952.3899999,-6.0549999999999996E-3
150,DELHI,DELHI EAST,All Divisions,All Ranges,4821,48,,2817830895.4699998,0.10373599999999999
151,DELHI,DELHI EAST,All Divisions,All Ranges,6105,61,,8593792678.6499996,-6.4944000000000002E-2
152,DELHI,DELHI EAST,All Divisions,All Ranges,8467,84,,2302779533.8499999,0.418327
153,DELHI,DELHI EAST,All Divisions,All Ranges,5516,55,,9417531657.8699989,-4.1556000000000003E-2
154,DELHI,DELHI EAST,All Divisions,All Ranges,7411,74,,2605685537.6199999,0.184554
155,DELHI,DELHI EAST,All Divisions,All Ranges,4911,49,,2801757923.75,-0.37154399999999999
156,DELHI,DELHI EAST,All Divisions,All Ranges,8424,84,,2670276853.4899998,-0.147144
157,DELHI,DELHI EAST,All Divisions,All Ranges,8001,80,,2570338565.690001,0.31144899999999998
158,DELHI,DELHI EAST,All Divisions,All Ranges,9701,97,,4078175500.4099998,6.0760000000000002E-2
159,DELHI,DELHI EAST,All Divisions,All Ranges,4820,48,,2872852047.4400001,-2.8726999999999999E-2
160,DELHI,DELHI EAST,All Divisions,All Ranges,3307,33,,3399992450.150001,-0.27378000000000002
161,DELHI,DELHI EAST,All Divisions,All Ranges,7228,72,,2363508292.5899992,0.142345
162,DELHI,DELHI EAST,All Divisions,All Ranges,3507,35,,2361057066.6900001,0.176728
163,DELHI,DELHI EAST,All Divisions,All Ranges,4002,40,,2261365626.8499999,0.14036100000000001
164,DELHI,DELHI EAST,All Divisions,All Ranges,7217,72,,2248174553.9899998,7.5620000000000001E-3
165,DELHI,DELHI EAST,All Divisions,All Ranges,8531,85,,2265998180.46,5.9445999999999999E-2
166,DELHI,DELHI EAST,All Divisions,All Ranges,2008,20,,3314329542.2999992,-1.8890000000000001E-3
167,DELHI,DELHI EAST,All Divisions,All Ranges,8501,85,,2320562904.5599999,-0.24043600000000001
168,DELHI,DELHI EAST,All Divisions,All Ranges,8521,85,,2174777794.4399991,1.6913999999999998E-2
169,DELHI,DELHI EAST,All Divisions,All Ranges,8530,85,,2158491219.1900001,-0.18596699999999999
170,DELHI,DELHI EAST,All Divisions,All Ranges,9619,96,,6314978272.8599987,4.5760000000000002E-2
171,DELHI,DELHI EAST,All Divisions,All Ranges,7013,70,,2122991491.5999999,-4.9230000000000003E-2
172,DELHI,DELHI EAST,All Divisions,All Ranges,6107,61,,7607033221.6799994,8.3315E-2
173,DELHI,DELHI EAST,All Divisions,All Ranges,8308,83,,2052300054.6400001,0.14171900000000001
174,DELHI,DELHI EAST,All Divisions,All Ranges,3204,32,,2143025337.1099999,0.23561499999999999
175,DELHI,DELHI EAST,All Divisions,All Ranges,8509,85,,2008994116.3900001,0.23092799999999999
176,DELHI,DELHI EAST,All Divisions,All Ranges,3924,39,,2036559828.9300001,5.851E-2
177,DELHI,DELHI EAST,All Divisions,All Ranges,7207,72,,2000239434.05,0.45159300000000002
178,DELHI,DELHI EAST,All Divisions,All Ranges,7902,79,,1983485650.750001,0.59231299999999998
179,DELHI,DELHI EAST,All Divisions,All Ranges,8705,87,,1964654782.46,22.019597999999998
180,DELHI,DELHI EAST,All Divisions,All Ranges,9019,90,,2793434010.0100012,1.6705999999999999E-2
181,DELHI,DELHI EAST,All Divisions,All Ranges,8483,84,,1940459336.4200001,0.32541199999999998
182,DELHI,DELHI EAST,All Divisions,All Ranges,9001,90,,2509918556.3099999,1.186E-3
183,DELHI,DELHI EAST,All Divisions,All Ranges,3306,33,,1921547830.22,5.7418999999999998E-2
184,DELHI,DELHI EAST,All Divisions,All Ranges,7303,73,,1885731935.3199999,-0.52386699999999997
185,DELHI,DELHI EAST,All Divisions,All Ranges,7211,72,,2248900400.6999998,0.35649599999999998
186,DELHI,DELHI EAST,All Divisions,All Ranges,8207,82,,1871190780.589999,9.2656000000000002E-2
187,DELHI,DELHI EAST,All Divisions,All Ranges,9506,95,,2272098569.96,7.2249999999999997E-3
188,DELHI,DELHI EAST,All Divisions,All Ranges,8431,84,,1918245769.26,-5.1816000000000001E-2
189,DELHI,DELHI EAST,All Divisions,All Ranges,1704,17,,3311956477.96,1.9498000000000001E-2
190,DELHI,DELHI EAST,All Divisions,All Ranges,8502,85,,1901934304.4000001,8.4264000000000006E-2
191,DELHI,DELHI EAST,All Divisions,All Ranges,2701,27,,3938691341.9700012,3.0196209999999999
192,DELHI,DELHI EAST,All Divisions,All Ranges,7222,72,,1810996905.9000001,0.87641599999999997
