S.No,Zone,Commissionerate,Division,Range,HSN Code,Chapter,No. of GSTNs_z1,Taxable value 24_25_z2,YoY growth_z3
209,DELHI,DELHI EAST,MANDOLI,All Ranges,2404,24,,167653714.260000100,0.204191
210,DELHI,DELHI EAST,MANDOLI,All Ranges,4403,44,,164516061.120000000,-0.196800
211,DELHI,DELHI EAST,MANDOLI,All Ranges,7009,70,,164169969.400000000,0.062995
212,DELHI,DELHI EAST,MANDOLI,All Ranges,1511,15,,590761187.450000000,-0.164187
213,DELHI,DELHI EAST,MANDOLI,All Ranges,3908,39,,162198737.600000000,-0.168986
214,DELHI,DELHI EAST,MANDOLI,All Ranges,8458,84,,161438647.270000000,2.516608
215,DELHI,DELHI EAST,MANDOLI,All Ranges,8462,84,,163203288.870000000,0.176436
216,DELHI,DELHI EAST,MANDOLI,All Ranges,4808,48,,233875795.670000000,0.120495
217,DELHI,DELHI EAST,MANDOLI,All Ranges,4008,40,,157772151.600000000,0.105992
218,DELHI,DELHI EAST,MANDOLI,All Ranges,6804,68,,157571036.740000000,0.599522
219,DELHI,DELHI EAST,MANDOLI,All Ranges,9021,90,,557106006.520000100,-0.059512
220,DELHI,DELHI EAST,MANDOLI,All Ranges,7108,71,,936955333.620000200,-0.475061
221,DELHI,DELHI EAST,MANDOLI,All Ranges,6211,62,,536953709.320000100,-0.857042
222,DELHI,DELHI EAST,MANDOLI,All Ranges,8512,85,,155382164.400000000,0.195622
223,DELHI,DELHI EAST,MANDOLI,All Ranges,7113,71,,921625818.150000200,0.265258
224,DELHI,DELHI EAST,MANDOLI,All Ranges,9022,90,,226074118.260000000,-0.300208
225,DELHI,DELHI EAST,MANDOLI,All Ranges,5509,55,,225555312.580000000,-0.463089
226,DELHI,DELHI EAST,MANDOLI,All Ranges,8101,81,,147878997.390000000,8.333937
227,DELHI,DELHI EAST,MANDOLI,All Ranges,6205,62,,532408388.950000100,2.750612
228,DELHI,DELHI EAST,MANDOLI,All Ranges,2515,25,,170262355.410000100,-0.128657
229,DELHI,DELHI EAST,MANDOLI,All Ranges,9506,95,,165242893.120000000,0.407297
230,DELHI,DELHI EAST,MANDOLI,All Ranges,7324,73,,145590244.560000000,-0.252724
231,DELHI,DELHI EAST,MANDOLI,All Ranges,4909,49,,160613308.710000000,0.104432
232,DELHI,DELHI EAST,MANDOLI,All Ranges,4005,40,,142978433.540000000,1.749870
233,DELHI,DELHI EAST,MANDOLI,All Ranges,3306,33,,142947943.830000000,0.458575
234,DELHI,DELHI EAST,MANDOLI,All Ranges,4203,42,,134100352.190000000,0.167890
235,DELHI,DELHI EAST,MANDOLI,All Ranges,4818,48,,141602944.780000000,1.345563
236,DELHI,DELHI EAST,MANDOLI,All Ranges,2914,29,,140537797.280000000,0.116635
237,DELHI,DELHI EAST,MANDOLI,All Ranges,9619,96,,286017904.860000000,-0.084325
238,DELHI,DELHI EAST,MANDOLI,All Ranges,3405,34,,138905066.570000000,0.090301
239,DELHI,DELHI EAST,MANDOLI,All Ranges,6910,69,,138021622.460000000,1.449681
240,DELHI,DELHI EAST,MANDOLI,All Ranges,6109,61,,466592758.700000000,-0.199773
241,DELHI,DELHI EAST,MANDOLI,All Ranges,8007,80,,134471547.750000000,7.115646
242,DELHI,DELHI EAST,MANDOLI,All Ranges,7410,74,,133122246.450000000,0.202667
